MONTH_YEAR,NUMBER_OF_ACCOUNTS,PLACEMENT_AMOUNT,PAYMENT_AMOUNT,REV,LETTERS_COUNT
1990-06,1,275.63,20,255.63,1
1992-11,2,3203.2,10,3193.2,1
1993-02,1,613.28,70,543.28,3
1993-03,2,14850,10,14840,4
1993-04,1,2120,40,2080,2
1993-07,1,13562.36,45.47,13516.89,10
1993-08,2,2356.19,10,2346.19,7
1993-09,1,226.2,20,206.2,3
1993-10,2,6148.56,60,6088.56,5
1993-11,2,1087.27,125,962.27,8
1993-12,3,5351.72,60,5291.72,5
1994-01,3,1555.08,25,1530.08,10
1994-02,1,231.27,40,191.27,6
1994-03,1,430,993.75,-563.75,9
1994-04,4,5802.98,142,5660.98,9
1994-05,2,542.18,12747.37,-12205.19,7
1994-06,4,4549.31,806.75,3742.56,5
1994-08,5,5264.79,973.36,4291.43,9
1994-09,1,1903.79,2225,-321.21,21
1994-12,1,4207.38,75,4132.38,9
1995-01,1,346,875,-529,5
1995-03,4,3052.32,254.68,2797.64,12
1995-04,3,13921.41,337.38,13584.03,17
1995-05,1,83.2,294.06,-210.86,12
1995-06,6,12777.74,549.14,12228.6,12
1995-07,4,2921.47,156.51,2764.96,17
1995-08,6,12683.38,848,11835.38,10
1995-09,4,26713.81,684.88,26028.93,17
1995-10,6,5953.8,829.16,5124.64,18
1995-11,3,1998.83,366.77,1632.06,12
1995-12,2,2289.49,976.01,1313.48,23
1996-01,2,1951.8,1656.62,295.18,28
1996-02,3,1614.39,505.58,1108.81,30
1996-03,5,11031.39,1426.3,9605.09,26
1996-04,5,3418.69,1033.17,2385.52,27
1996-05,10,9431.31,1026.71,8404.6,34
1996-06,3,1115.66,1215.81,-100.15,32
1996-07,5,27756.93,1045,26711.93,28
1996-08,5,5567.82,978.71,4589.11,58
1996-09,7,52364.69,-47.33,52412.02,54
1996-10,2,3452.97,752.62,2700.35,56
1996-11,6,18296.58,934.45,17362.13,52
1996-12,7,5584.21,1817.97,3766.24,45
1997-01,12,13844.25,540.16,13304.09,66
1997-02,5,4821.11,464.31,4356.8,43
1997-03,10,7365.35,615,6750.35,60
1997-04,16,23503.53,585.5,22918.03,45
1997-05,5,2792.08,1263.65,1528.43,71
1997-06,7,3564.7,639.9,2924.8,54
1997-07,8,31028.39,33195.32,-2166.93,88
1997-08,15,4786.61,2620.89,2165.72,75
1997-09,11,32632.85,888.61,31744.24,85
1997-10,12,5635.89,2267.82,3368.07,104
1997-11,8,12743.51,2679.59,10063.92,88
1997-12,11,68033.14,1393.88,66639.26,105
1998-01,10,17025.6,7133.4,9892.2,119
1998-02,18,88484.33,2190.23,86294.1,104
1998-03,20,76242.54,2321.63,73920.91,89
1998-04,20,14473.02,16005.33,-1532.31,105
1998-05,17,6175.91,3675.48,2500.43,111
1998-06,20,120937.32,3425.81,117511.51,128
1998-07,14,5866.32,1486.31,4380.01,118
1998-08,12,3124.55,18886.07,-15761.52,128
1998-09,20,63620.98,3199.9,60421.08,131
1998-10,22,41453.33,6862.97,34590.36,149
1998-11,21,29687.64,3793.11,25894.53,164
1998-12,24,28515.51,4432.1,24083.41,205
1999-01,22,38661.41,2793.57,35867.84,190
1999-02,18,19174.93,26922.96,-7748.03,212
1999-03,17,20104.46,-1469.64,21574.1,195
1999-04,16,57870.65,6972.82,50897.83,249
1999-05,93,120114.03,3577.83,116536.2,320
1999-06,85,70841.27,6895.49,63945.78,598
1999-07,67,25415.1,13113.26,12301.84,700
1999-08,97,96129.86,8914.72,87215.14,842
1999-09,41,72512.06,13949.64,58562.42,744
1999-10,82,49135.02,10007.71,39127.31,862
1999-11,65,82560.53,14555.54,68004.99,827
1999-12,100,74036.07,11671.77,62364.3,990
2000-01,153,123212.65,11430.79,111781.86,981
2000-02,155,73657.51,14943.67,58713.84,1056
2000-03,166,85639.73,16460.16,69179.57,1351
2000-04,124,70039.02,15666.95,54372.07,1075
2000-05,254,136658.4,20275.36,116383.04,1526
2000-06,187,90299.27,32241.98,58057.29,1791
2000-07,303,103194.7,35139.61,68055.09,1649
2000-08,314,150333.96,48267.13,102066.83,1914
2000-09,288,102780.92,57829.14,44951.78,1701
2000-10,393,137981.62,50407.21,87574.41,1991
2000-11,277,131954.96,69778.51,62176.45,1926
2000-12,308,247055.03,54950.81,192104.22,1918
2001-01,354,83806.32,71416.31,12390.01,2208
2001-02,191,109651.34,57675.91,51975.43,1903
2001-03,264,151497.36,51192.93,100304.43,2150
2001-04,112,80360.91,60244.63,20116.28,2091
2001-05,157,124541.7,67110.58,57431.12,2195
2001-06,194,114534.78,72465.35,42069.43,1986
2001-07,182,115602.46,44933.19,70669.27,2110
2001-08,224,93882.92,67504.78,26378.14,2489
2001-09,179,136063.37,53666.76,82396.61,1959
2001-10,299,193388.11,80248.71,113139.4,2275
2001-11,299,153167.06,36239.1,116927.96,2326
2001-12,304,105679.87,41768.13,63911.74,2182
2002-01,267,163628.09,58260.1,105367.99,2295
2002-02,195,131136.72,66012.68,65124.04,1954
2002-03,345,242512.12,60006.9,182505.22,2259
2002-04,355,143172.82,85026.64,58146.18,2897
2002-05,237,125515.06,67289.27,58225.79,2695
2002-06,330,232484.89,62402.36,170082.53,2480
2002-07,295,216806.27,60750.83,156055.44,2631
2002-08,302,130334.13,58240.13,72094,2557
2002-09,367,151368.61,54148.28,97220.33,2474
2002-10,338,280922.56,62122.66,218799.9,2908
2002-11,374,136657.5,59249.3,77408.2,2672
2002-12,409,210263.38,74371.72,135891.66,2594
2003-01,357,156651.72,88012.34,68639.38,2563
2003-02,615,179352.17,88321.42,91030.75,2704
2003-03,373,232200.88,95361.02,136839.86,2640
2003-04,308,253515.2,63939.33,189575.87,2669
2003-05,272,266628.53,87223.52,179405.01,2702
2003-06,404,260142.16,78604.64,181537.52,2650
2003-07,383,147298.24,76534.43,70763.81,2949
2003-08,289,176969.14,75082.89,101886.25,2665
2003-09,332,211762.65,102776.23,108986.42,3043
2003-10,294,148721.37,68177.43,80543.94,3152
2003-11,281,242739.97,76743.95,165996.02,2955
2003-12,368,250019.76,68503.32,181516.44,3567
2004-01,1017,290999.81,95607.67,195392.14,3349
2004-02,458,296201.26,114793.01,181408.25,3269
2004-03,746,251455.12,116290.16,135164.96,4255
2004-04,549,228840.09,149450.57,79389.52,3674
2004-05,414,279995.13,127564.77,152430.36,3257
2004-06,627,275326.48,114338.33,160988.15,3459
2004-07,591,265131.87,134572.92,130558.95,4020
2004-08,640,346339.89,118449.39,227890.5,3572
2004-09,742,324770.99,152235.24,172535.75,4001
2004-10,443,163168.51,128975.7,34192.81,4246
2004-11,724,251276.28,158974.14,92302.14,3090
2004-12,497,194261.53,147361.34,46900.19,3173
2005-01,1311,706296.75,150481.46,555815.29,3585
2005-02,1028,745351.01,173591.43,571759.58,3903
2005-03,1218,863333.19,219486.16,643847.03,4370
2005-04,1142,672112.19,176516.59,495595.6,4319
2005-05,1352,876921.67,153208.02,723713.65,4822
2005-06,1484,852366.28,149788.48,702577.8,4955
2005-07,1161,506888.94,195201.73,311687.21,5006
2005-08,1691,1073144.88,198517.66,874627.22,5881
2005-09,1444,700072.35,173051.17,527021.18,5463
2005-10,1717,1061082.25,155284.44,905797.81,5513
2005-11,1418,770001.71,183997.73,586003.98,5764
2005-12,1298,1199299.35,171621.29,1027678.06,5352
2006-01,1627,958019.68,178145.85,779873.83,5876
2006-02,1475,1456815.65,188328.65,1268487,5425
2006-03,1459,757032.46,293795.96,463236.5,6419
2006-04,1566,1024946.27,158098.31,866847.96,5916
